text	label
"#sydneylockdown
Our beautiful city, isolating until we meet again. Can't wait to be able to even walk these streets… https://t.co/EEeeaOmnoR#sydneylockdown
Our beautiful city, isolating until we meet again. Can't wait to be able to even walk these streets… https://t.co/x3zsHrWNDK"	1
Just posted a photo @ Malabar Botanical Nursery https://t.co/wavuHxs0XnJust posted a photo @ Malabar Botanical Nursery https://t.co/soPkVgBXva	0
For my birthday, I donated blood as a way of gratitude for having another year of life. @ Australian Red Cross Bloo… https://t.co/1z3PKbI2Ub	4
@negroniweek Negroni and charity. The best feeling. #italianiallestero🇮🇹 @ Tugun, Queensland, Australia https://t.co/tfy94rKKgJ5AM a Brisbane! #forzalottavincerainontilasceremomai @acmilan @ Balmoral https://t.co/KgSJd971sHJust posted a photo @ Balmoral https://t.co/HjWa8S1wNt	5
"Repost from @est_living of this home in Bilgola Beach NSW. We don’t need to say much more about this.

Designed:… https://t.co/6TQBDMdhKC"	1
Just posted a video @ NASA Johnson Space Center https://t.co/7kXNlPHQ0n	3
Kewarra Beach Resort &amp; Spaに写真を投稿しましたhttps://t.co/3UFwoz4WG7	5
Just posted a photo @ Royal Randwick Racecourse https://t.co/PCVtQMuZe7	0
Smoked roast chicken on the spit. 🤤 wish you could smell the butter, garlic, cumin, Smokey paprika, oinion powder r… https://t.co/wOwkXoFx9i	8
Just posted a photo @ Shire https://t.co/0FrENNfnvq	1
Just posted a photo @ La Trobe University Hockey Club https://t.co/QFKXbnJWTNJust posted a photo @ State Hockey Netball Centre outdoor netball courts are evil wet. https://t.co/UX2YphGjImJust posted a photo @ La Trobe University Hockey Club https://t.co/tXHDASWJ72	3
#freeemis#efc Fans are such a breath of fresh air - real football fans. Class. #avfcHuttonesque ! #avfc@BostnMike here’s the photo version 🤣🤣🤣 https://t.co/Zyagm46dCOOle complaining about an offside goal and Villa being mean to Bruno is making this even sweeter #avfcThat’s poor. #avfc	1
Tank Stream Fountain by Stephen Walker (1981) à Circular Quay https://t.co/ITwF3AakKDObey (2017) à Sydney, Australia https://t.co/ZYRC9UoDYC« Voyage » by Peter D Cole (1999) à Circular Quay https://t.co/LlHngLdkJVBusbys Pond à Centennial Park https://t.co/xZ0un2kdfn💚 à The Royal Botanic Garden, Sydney https://t.co/cPli7oKDM2« Modesty is a shining light; it prepares the mind to receive knowledge, and the heart for truth. » François Guizot… https://t.co/P55Ds1sUvaStudio Dybka Tichy à Sydney, Australia https://t.co/TBSsiQI3ckHoneycomb à Sydney, Australia https://t.co/2FiYLa8VKnPost-it note on a lamp post in Hyde Park à Hyde Park https://t.co/IgE5coP3HEZiggy Stardust à Paddington, New South Wales https://t.co/hcit6SiqpaPop of colour à Darlinghurst, New South Wales https://t.co/WRAQCK8ZltBeware of dog à Darlinghurst, New South Wales https://t.co/M1szZ2XCll☹️🙂 à Darlinghurst, New South Wales https://t.co/JuWgFaFecx« All the Universe is full of the life of perfect creatures. » Konstantin Tsiolkovsky à Hyde Park https://t.co/fbuwH7KlWeSunset à Crown Towers Sydney https://t.co/dN3pq13GhWStill life à The Rocks https://t.co/721VCHU36QOpera à Bennelong Point https://t.co/EDs93oAamRSmog #nofilter à Fleet Steps https://t.co/40iqmCYlRyDoor Art à Darlinghurst, New South Wales https://t.co/pOmQoAhAnaLotus Flower à Darlinghurst, New South Wales https://t.co/wfTaragvj7Thomson Street Gallery à Darlinghurst, New South Wales https://t.co/E3KU9O1V7e	1
"In loving memory of
Mark Brooke
Husband, Father &amp;
Queanbeyan Paramedic.
Missed Greatly, Forever on call.… https://t.co/Rkei4kz6kX"	0
Footy Colours Day 2021 #godons @essendonfc @essendonvfl @efcskeeta 🔴⚫️ @claudioferrito @ Melbourne, Victoria, Austr… https://t.co/21qvqdwOc7	3
Love Spring in Artarmon @ Artarmon, New South Wales, Australia https://t.co/HMzW1vGuFbAt Grace City to take part in their morning services @ Grace City Church https://t.co/AI9V126gZAJust posted a photo @ Gore Cove Track https://t.co/dRtwdrd5HPJust posted a photo @ Darlington https://t.co/4RPC0ZOxXg	1
I mean really ffs 🤦🏻‍♀️ aren’t we going through enough with the plague, now we have a full on earth quake! I mean w… https://t.co/Af3cdponYf	3
Just posted a photo @ Melbourne, Victoria, Australia https://t.co/7yoPpyyBWV	3
